x1,x2,y1
   1.81620,  94.00000,  28.49712
   1.83101,  30.00000,   8.94824
   1.78948,  79.00000,  24.67031
   1.60035,  65.00000,  25.37954
   1.66924,  50.00000,  17.94462
   1.95303,  32.00000,   8.38943
   1.88190, 108.00000,  30.49526
   1.91370, 134.00000,  36.58945
   1.66199, 130.00000,  47.06376
   1.62405, 124.00000,  47.01357
   1.50928, 171.00000,  75.06869
   1.98913, 133.00000,  33.61446
   1.79514,  53.00000,  16.44676
   1.72198, 157.00000,  52.94711
   1.62636,  98.00000,  37.05054
   1.66464, 196.00000,  70.73184
   1.92100,  31.00000,   8.40049
   1.57623,  88.00000,  35.41972
   1.69409, 128.00000,  44.60007
   1.54187, 131.00000,  55.10332
   1.81809,  74.00000,  22.38727
   1.73657, 151.00000,  50.07175
   1.59817,  70.00000,  27.40650
   1.98703, 178.00000,  45.08298
   1.62046,  47.00000,  17.89871
   1.82155, 173.00000,  52.13911
   1.75021,  40.00000,  13.05806
   1.67443,  30.00000,  10.70007
   1.75302,  92.00000,  29.93723
   1.90419,  34.00000,   9.37683
   1.96420, 181.00000,  46.91454
   1.71546, 104.00000,  35.34032
   1.73146, 146.00000,  48.69979
   1.72978,  80.00000,  26.73674
   1.66783,  45.00000,  16.17747
   1.72674, 186.00000,  62.38230
   1.84037, 175.00000,  51.66854
   1.57637, 138.00000,  55.53431
   1.62754,  68.00000,  25.67127
   1.69695,  48.00000,  16.66871
   1.51373, 150.00000,  65.46258
   1.72708, 188.00000,  63.02785
   1.90364,  56.00000,  15.45319
   1.85665, 119.00000,  34.52110
   1.70361, 190.00000,  65.46563
   1.56817,  59.00000,  23.99187
   1.54919, 134.00000,  55.83335
   1.65822, 117.00000,  42.55013
   1.60236, 158.00000,  61.53700
   1.58438,  84.00000,  33.46278
   1.86752,  93.00000,  26.66558
   1.61707, 164.00000,  62.71687
   1.60341,  67.00000,  26.06053
   1.87592, 114.00000,  32.39503
   1.94025,  65.00000,  17.26633
   1.80933,  79.00000,  24.13183
   1.73982, 150.00000,  49.55416
   1.96293, 183.00000,  47.49430
   1.64323, 156.00000,  57.77359
   1.56981,  81.00000,  32.86923
   1.87684, 110.00000,  31.22757
   1.66866, 175.00000,  62.84951
   1.92321, 178.00000,  48.12468
   1.72128, 178.00000,  60.07833
   1.74769,  64.00000,  20.95331
   1.89271, 125.00000,  34.89338
   1.69894, 138.00000,  47.81056
   1.80585, 164.00000,  50.28997
   1.93591,  29.00000,   7.73802
   1.87652,  59.00000,  16.75502
   1.69163, 124.00000,  43.33216
   1.75375,  52.00000,  16.90705
   1.58208, 100.00000,  39.95227
   1.68374, 155.00000,  54.67433
   1.87827,  64.00000,  18.14115
   1.82527,  95.00000,  28.51463
   1.65017, 132.00000,  48.47490
   1.99089,  84.00000,  21.19272
   1.67913,  41.00000,  14.54166
   1.78228,  56.00000,  17.62935
   1.92685,  73.00000,  19.66191
   1.97932, 137.00000,  34.96946
   1.59125, 193.00000,  76.22227
   1.64270, 127.00000,  47.06366
   1.68550, 121.00000,  42.59199
   1.57760,  87.00000,  34.95636
   1.86807, 120.00000,  34.38702
   1.75585, 155.00000,  50.27576
   1.92020, 120.00000,  32.54515
   1.94500,  54.00000,  14.27436
   1.89569, 187.00000,  52.03657
   1.79532,  32.00000,   9.92808
   1.94357, 105.00000,  27.79647
   1.56535,  76.00000,  31.01631
   1.52921, 123.00000,  52.59803
   1.55075, 131.00000,  54.47388
   1.70194,  31.00000,  10.70223
   1.66603,  44.00000,  15.85210
   1.74703, 176.00000,  57.66526
   1.67559, 157.00000,  55.91974
   1.86078,  99.00000,  28.59200
   1.97312, 133.00000,  34.16196
   1.87711,  75.00000,  21.28539
   1.62482, 101.00000,  38.25686
   1.58982, 162.00000,  64.09386
