x1,x2,y1
   1.67407,  72.00000,  25.69126
   1.74518, 176.00000,  57.78732
   1.80792, 147.00000,  44.97371
   1.78590, 105.00000,  32.92130
   1.98507, 185.00000,  46.94849
   1.60470, 120.00000,  46.60054
   1.53661, 119.00000,  50.39875
   1.72394, 174.00000,  58.54720
   1.71094,  39.00000,  13.32274
   1.98197, 105.00000,  26.72976
   1.59784, 140.00000,  54.83540
   1.50791, 188.00000,  82.68137
   1.80577, 197.00000,  60.41452
   1.98565, 113.00000,  28.65982
   1.88145,  99.00000,  27.96715
   1.52483, 109.00000,  46.87955
   1.64767, 183.00000,  67.40796
   1.59159,  28.00000,  11.05344
   1.53268, 173.00000,  73.64476
   1.89845, 155.00000,  43.00627
   1.77541, 170.00000,  53.93240
   1.97991, 145.00000,  36.98927
   1.74831,  47.00000,  15.37659
   1.56039,  81.00000,  33.26736
   1.66471,  96.00000,  34.64141
   1.62598, 191.00000,  72.24406
   1.91943,  25.00000,   6.78569
   1.57442, 165.00000,  66.56464
   1.61962, 196.00000,  74.71856
   1.94498,  69.00000,  18.23967
   1.50998, 195.00000,  85.52474
   1.94941,  54.00000,  14.20984
   1.84837,  78.00000,  22.83058
   1.89660, 169.00000,  46.98232
   1.88403,  79.00000,  22.25611
   1.78985,  92.00000,  28.71803
   1.69150,  32.00000,  11.18418
   1.75794,  27.00000,   8.73690
   1.53797, 168.00000,  71.02570
   1.56306, 154.00000,  63.03294
   1.72912, 154.00000,  51.50766
   1.92085, 120.00000,  32.52338
   1.86201,  83.00000,  23.93954
   1.98676, 102.00000,  25.84108
   1.68083,  93.00000,  32.91805
   1.73516,  40.00000,  13.28555
   1.53210,  82.00000,  34.93348
   1.60465,  62.00000,  24.07848
   1.72458,  28.00000,   9.41438
   1.84710,  89.00000,  26.08598
   1.51444, 162.00000,  70.63386
   1.96929, 187.00000,  48.21932
   1.94738, 117.00000,  30.85199
   1.81676, 141.00000,  42.71923
   1.79870,  69.00000,  21.32717
   1.72703, 182.00000,  61.02021
   1.54271,  56.00000,  23.52976
   1.70427,  34.00000,  11.70586
   1.79907,  56.00000,  17.30176
   1.79140, 118.00000,  36.77022
   1.65856,  63.00000,  22.90238
   1.60760, 195.00000,  75.45356
   1.62874, 163.00000,  61.44476
   1.77692, 140.00000,  44.33968
   1.87942,  62.00000,  17.55279
   1.69369,  26.00000,   9.06373
   1.59946,  99.00000,  38.69823
   1.53030, 123.00000,  52.52316
   1.57468, 154.00000,  62.10661
   1.69122,  70.00000,  24.47370
   1.50359, 173.00000,  76.52229
   1.77194,  54.00000,  17.19870
   1.61566, 192.00000,  73.55305
   1.65726,  48.00000,  17.47675
   1.56562,  83.00000,  33.86153
   1.68177,  45.00000,  15.91033
   1.84240, 179.00000,  52.73305
   1.52559, 190.00000,  81.63541
   1.71835, 169.00000,  57.23538
   1.66548, 183.00000,  65.97359
   1.79383,  80.00000,  24.86163
   1.98661, 184.00000,  46.62234
   1.84569,  55.00000,  16.14531
   1.83677, 132.00000,  39.12585
   1.64121, 190.00000,  70.53794
   1.53790, 126.00000,  53.27399
   1.84718, 161.00000,  47.18536
   1.96117,  37.00000,   9.61990
   1.66710, 139.00000,  50.01395
   1.91190, 134.00000,  36.65842
   1.79051, 185.00000,  57.70582
   1.56820,  40.00000,  16.26515
   1.76452, 172.00000,  55.24299
   1.90382,  94.00000,  25.93440
   1.73139,  84.00000,  28.02150
   1.90197,  86.00000,  23.77329
   1.62243,  93.00000,  35.33057
   1.98372, 171.00000,  43.45462
   1.69623,  67.00000,  23.28669
   1.56786,  37.00000,  15.05178
   1.74829,  35.00000,  11.45098
   1.92827,  77.00000,  20.70888
   1.84278,  31.00000,   9.12886
   1.57644, 116.00000,  46.67694
   1.51333, 155.00000,  67.68077
   1.76646, 109.00000,  34.93160
   1.88450, 144.00000,  40.54813
   1.95557, 124.00000,  32.42478
   1.84311,  61.00000,  17.95682
   1.68190, 176.00000,  62.21775
   1.59611,  61.00000,  23.94452
   1.97624,  50.00000,  12.80241
   1.61464, 194.00000,  74.41335
   1.59431, 147.00000,  57.83230
   1.68289, 191.00000,  67.44045
   1.97007, 138.00000,  35.55628
   1.80040, 125.00000,  38.56297
   1.50910, 186.00000,  81.67251
   1.73834, 112.00000,  37.06368
   1.99057,  60.00000,  15.14247
   1.58271,  70.00000,  27.94449
   1.95441,  26.00000,   6.80680
   1.61159,  71.00000,  27.33683
   1.74784, 163.00000,  53.35586
   1.78415,  86.00000,  27.01693
   1.73299, 196.00000,  65.26284
   1.50902, 112.00000,  49.18429
   1.74998,  61.00000,  19.91876
   1.97422, 130.00000,  33.35422
   1.66523,  27.00000,   9.73677
