x1,x2,x3,x4,y1
   6.30651,   2.23126,   6.95826,   9.88415,   5.01683
   9.07714,   6.21059,   1.58401,   1.97679,   2.89333
   5.02777,   4.04626,   3.90232,   9.15452,   5.34312
   1.90746,   7.76275,   8.44665,   7.09478,   6.00933
   3.22097,   3.23289,   8.90462,   1.16697,   7.73766
   1.73856,   3.67839,   6.31248,   4.90637,   2.39585
   4.99568,   1.93914,   3.27442,   4.30934,   3.22700
   6.85848,   3.55084,   8.57808,   8.46750,   3.30949
   2.37209,   8.90587,   9.35566,   3.10921,   9.03927
   5.00246,   2.86214,   1.24435,   3.24068,   2.92682
   2.34451,   7.13318,   3.10661,   9.76648,   8.20276
   2.22335,   3.16826,   2.73970,   6.78791,   4.15703
   5.24229,   7.82321,   4.13976,   3.93780,   2.58881
   6.82259,   8.27551,   4.48808,   3.27680,   1.89160
   7.63269,   4.87834,   7.23860,   6.56717,   2.83501
   5.13603,   7.27722,   4.02088,   7.07749,   3.73196
   5.08124,   4.14893,   4.38628,   2.37470,   2.21712
   6.51320,   9.52406,   4.54514,   6.48608,   3.58224
   8.76770,   5.08746,   3.74440,   3.92332,   3.68460
   2.28623,   7.41979,   1.48579,   6.77472,   7.37063
   2.22711,   7.31748,   6.10925,   1.88548,   6.61454
   3.05700,   3.84798,   9.29849,   2.84250,   6.50426
   9.00098,   1.11659,   7.61541,   8.28533,   7.91279
   8.17576,   2.86146,   9.08986,   4.13210,   7.26782
   8.92441,   1.57887,   5.61652,   5.31685,   7.35165
   9.56329,   1.87766,   3.57809,   5.98041,   8.05234
   2.25662,   9.79721,   4.99630,   9.88063,   8.98427
   7.40694,   8.61773,   9.25423,   7.99807,   1.74469
   5.45837,   9.14109,   3.69993,   9.61422,   6.96716
   6.85680,   4.58089,   4.81173,   5.45277,   2.36447
   6.50527,   8.59022,   8.84630,   4.09449,   5.18910
   6.25784,   4.44936,   9.26284,   5.76786,   3.93516
   2.47749,   1.69771,   7.49642,   2.64826,   4.91047
   8.98245,   9.89340,   8.40000,   4.53378,   3.97208
   3.70305,   8.00515,   1.96028,   4.22438,   4.86150
   3.83851,   6.08103,   6.26864,   8.68336,   3.29542
   4.33904,   9.62774,   6.92550,   6.26020,   5.33038
   5.87357,   4.81574,   9.02836,   4.33900,   4.80719
   5.61913,   6.49740,   7.62528,   6.85080,   1.17097
   2.50034,   3.57646,   1.89716,   9.00992,   7.19370
   5.84134,   8.12235,   9.25089,   6.31580,   3.71723
   1.97051,   4.98858,   4.58226,   8.01305,   4.56936
   1.52582,   6.81051,   1.91348,   6.03388,   6.70117
   4.34445,   3.98855,   3.81844,   7.77958,   3.97709
   1.89737,   4.16058,   1.19526,   5.77974,   5.11269
   8.49844,   9.51624,   6.49932,   2.41766,   4.20664
   3.24681,   5.95485,   4.35808,   6.65075,   3.54821
   2.70692,   6.16579,   3.64121,   2.82345,   3.55422
   7.97856,   4.52692,   5.71456,   1.64597,   5.33547
   8.36439,   5.15004,   3.04602,   2.80283,   3.22354
   3.27925,   2.09929,   3.11568,   9.37749,   6.37202
   9.37490,   4.36701,   5.72556,   4.41451,   5.17666
   2.36047,   3.28968,   7.95832,   5.92660,   2.23413
   7.58370,   4.17699,   2.02409,   9.29836,   8.03248
   5.81254,   1.91148,   1.81521,   1.99772,   3.90532
   4.78057,   6.54799,   8.69964,   2.90167,   6.06136
   1.29225,   6.48171,   3.12318,   2.82412,   5.19807
   2.07242,   5.87496,   3.14732,   5.57053,   4.50902
   2.78724,   7.81159,   3.58067,   1.43493,   5.46336
   6.40569,   6.92516,   1.14414,   5.62363,   4.50951
   5.33793,   7.01673,   3.06356,   1.75562,   2.12817
   9.13036,   4.35696,   2.53562,   2.02121,   4.80104
   1.56921,   8.06351,   3.71935,   1.90216,   6.74374
   9.18988,   5.05972,   4.08030,   7.84949,   5.59152
   1.81499,   2.01891,   4.63104,   7.27871,   2.65551
   4.75452,   4.53724,   2.36099,   5.61777,   3.26402
   5.58512,   3.06546,   3.44275,   3.85937,   2.55387
   8.96158,   2.26796,   8.76849,   4.49885,   7.93942
   3.50745,   1.67680,   4.85481,   9.57578,   5.06348
   1.44497,   1.48376,   7.29308,   7.40237,   0.11597
   7.61898,   7.81948,   7.08925,   1.47867,   5.61417
   8.66749,   2.59309,   8.17177,   2.29798,   8.44984
   3.21195,   6.85734,   3.85823,   5.22777,   3.89417
   1.50730,   2.51369,   3.07743,   6.68150,   3.74194
   5.67690,   2.70083,   8.14836,   7.50129,   3.04560
   9.77246,   3.02308,   2.25488,   6.99195,   8.24585
   9.52430,   5.93728,   4.08463,   6.49798,   4.32331
   5.89969,   4.48224,   4.73277,   1.04698,   3.94895
   7.65884,   1.62638,   3.84623,   1.75144,   6.38583
   3.85949,   1.20596,   7.16517,   8.34678,   2.90473
   8.89615,   7.54339,   8.04027,   6.08890,   2.37440
