x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,y1
  58.96124,  13.68065,  66.20289,  98.71282,  89.74599,  57.89547,   6.48895,  10.85326,  44.75299,  33.84732,  98.71282
  32.24804,  90.60583,  10.08286,  75.14166,  82.74053,  67.71982,  24.67739,  24.80988,  87.82912,   1.85519,  90.60583
   8.20619,  29.75987,  59.02752,  43.40411,  44.39649,  10.43487,  25.27131,  36.77044,  65.09421,  28.34265,  65.09421
  84.20095,  82.97226,  15.24542,  87.84303,  92.84064,  23.43565,  44.47182,  20.69050,   2.71500,  24.89643,  92.84064
  14.93896,  68.14648,  23.40682,  97.40533,  13.59282,  24.09182,  19.32998,  64.31012,  47.13657,  75.81349,  97.40533
  34.88624,  32.64225,  64.69546,  80.83894,  38.75640,  25.29781,  73.69657,  43.09264,  69.31780,  61.85748,  80.83894
  45.95593,  69.74687,  33.56538,  67.52770,  45.34707,  34.98807,  37.62531,  15.27450,  61.25782,  94.71174,  94.71174
  39.39048,  60.95642,  86.30783,  45.41618,  30.49330,  32.48128,  14.29146,  71.33099,   5.39771,  64.16360,  86.30783
  13.63459,  70.19418,  56.76947,   9.83862,  22.85556,  31.64426,  92.20539,  20.47221,  88.89976,   1.29548,  92.20539
  73.50459,  80.94807,  79.73067,  20.68287,  89.88731,  34.80112,  88.04902,   6.43187,  51.29467,  47.96498,  89.88731
  95.14771,   9.75176,  28.64545,  55.33791,  13.96248,  97.74680,  44.40333,  98.67365,  71.18824,  84.64143,  98.67365
  91.71371,  77.75637,  49.53743,  90.45656,  29.99918,  95.71356,  65.07553,  39.78767,  42.35252,  49.47526,  95.71356
  61.16964,  84.33582,  87.18110,  34.38323,  58.42046,  38.32625,  91.80929,  52.97617,  16.41659,   7.75232,  91.80929
  72.18240,  18.31396,  88.69391,  98.81559,  82.22222,  39.26428,  30.03386,  77.83494,  10.66976,  35.82647,  98.81559
  31.53904,  56.45592,  58.54040,  85.37062,  37.10049,  95.86382,  65.83887,  58.44667,  54.15080,  42.39712,  95.86382
  89.20396,  37.09998,  51.32371,  61.08225,  73.61417,  65.00885,  16.67044,  28.62730,   9.96842,  88.99906,  89.20396
  53.79261,  79.13728,  91.67653,  59.06446,  10.78344,  44.31760,  39.80286,  77.92273,   5.84249,  64.56126,  91.67653
  10.14979,  55.93203,  37.16054,  33.20612,  31.31603,  75.32862,   9.97074,  35.11760,   2.16954,  53.10818,  75.32862
  83.31600,  94.62488,  61.10353,  15.75182,  24.96461,  55.05390,  37.31198,  62.78606,  18.96579,  57.39762,  94.62488
  29.34678,  20.26052,  77.53958,  39.18795,  52.38400,   7.17746,  81.82657,  46.11158,  22.73351,  20.03140,  81.82657
  25.32503,  12.21436,  23.50755,  93.08322,  93.05447,  37.41126,  52.50625,  37.93899,  15.11630,  25.44090,  93.08322
  77.31469,  54.73999,  73.15228,  35.29988,  11.37876,  92.20395,  53.47269,  10.12760,   9.05785,  11.08572,  92.20395
  42.00635,  61.64434,  85.55151,  21.12971,   3.24721,  60.90789,  23.59093,  20.26802,  11.91579,  54.16628,  85.55151
  23.85913,  50.78365,  19.85825,  75.68432,  28.67411,   4.83252,  60.06318,  65.83508,   1.60152,  51.37367,  75.68432
  48.19920,  66.85255,  22.92845,   8.39576,  90.33733,  37.29950,  17.06249,  11.34679,   6.32460,  78.48339,  90.33733
  30.21505,  10.02399,  90.99867,  45.10799,  34.22554,  76.10546,   9.05546,  11.32125,  40.34486,  69.76341,  90.99867
