x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,y1
  53.30732,  39.81807,  91.33038,  14.92899,  89.21807,  28.95181,  24.67676,  66.92381,  68.57546,  88.14228,  91.33038
  53.93598,  79.68020,  48.92904,  10.50995,  16.22346,   0.89456,  89.92160,  76.04160,   2.14831,  24.84464,  89.92160
  77.32610,   0.88586,  42.58612,  50.81717,  72.99328,  20.69813,  13.88254,  29.64927,  35.46729,  55.15659,  77.32610
  45.49889,  37.01790,  61.31215,  44.03350,  18.01708,  40.70218,  61.22998,  27.96907,  35.93113,  23.34431,  61.31215
  58.07367,   8.18034,  38.80694,  38.62488,  25.10076,   0.98368,  94.62580,   4.41124,   5.43885,  69.57601,  94.62580
  11.85096,  10.03953,  61.26516,  94.33774,  51.84586,  28.66021,  87.94422,  77.71846,   9.50151,  54.23197,  94.33774
   9.26932,  34.47106,   0.66519,  63.31727,  10.58163,  83.06112,  18.49814,  11.16959,  44.51715,  43.95016,  83.06112
  34.33725,  85.89870,  25.12915,  81.83464,  43.52670,  70.45650,  56.88473,  80.70015,  42.27913,  70.80742,  85.89870
  34.81739,  61.98971,  63.94172,   0.19638,  18.68193,  19.63383,  92.64590,  98.86694,  72.06618,  71.61460,  98.86694
  19.09370,   4.08508,  44.69193,   0.18865,  60.61303,  60.00251,  24.17587,  84.23258,  36.53074,  20.29239,  84.23258
  81.96548,  10.86596,  80.59270,  48.66925,  17.78784,  34.70073,  94.65515,  52.97223,  50.11423,  77.33377,  94.65515
  72.43298,  70.02558,   8.64282,  80.37379,  96.34575,  13.12066,  14.24636,  67.17481,   2.69566,  46.36785,  96.34575
  75.77364,  36.66962,  62.05702,   7.89082,  33.04514,  54.57500,  72.47772,  58.30272,  73.40624,  19.68879,  75.77364
  67.11205,   9.95237,  98.69711,  21.42549,  92.45009,  77.68434,  56.07523,  50.35144,  18.96428,  53.43584,  98.69711
  31.45061,  21.20619,   1.64920,   3.18289,  45.50671,  26.08536,  25.79168,  65.52261,  88.32780,  53.19849,  88.32780
  51.63363,  59.20824,   7.77361,  88.43909,   1.07127,  15.51106,  52.53421,  69.24311,  63.46436,  84.44936,  88.43909
  82.82758,  52.61289,  69.11502,  99.49131,  65.53259,  82.42566,  89.39551,  63.47994,   7.39412,  38.38070,  99.49131
  70.86888,  66.43571,  31.67810,  23.52007,  80.53423,  36.20911,  52.65208,  14.11848,  60.24783,  95.22572,  95.22572
  53.16549,  62.70691,  90.24599,  83.00812,  51.27246,  87.87528,  31.70624,  90.08857,   9.13136,  39.40022,  90.24599
  80.06126,  68.68123,   8.33224,  30.43194,  83.04465,  98.33114,  84.65320,  68.15440,   5.24764,  47.74043,  98.33114
   7.10650,  58.14678,  33.44228,  83.53970,  27.04803,  24.42354,  71.29392,  73.31573,  28.56017,  21.63104,  83.53970
  73.23579,  52.20735,  48.99924,  93.83384,  95.96974,  65.39228,  72.99738,  63.22586,   0.08161,  27.95456,  95.96974
  48.52219,  75.03358,  42.80310,  59.57345,  17.27597,  97.71278,  76.20817,  45.76081,  37.50476,  49.61958,  97.71278
   9.65489,  28.56420,  77.32468,  39.11483,  92.65423,  45.81431,  80.32597,  77.01844,  13.74892,  86.47535,  92.65423
  96.62630,  41.13896,   8.46786,  54.97849,  12.86023,  75.16682,   6.93409,  32.52070,  57.98907,  23.65862,  96.62630
  33.66310,   7.98723,  14.81516,   3.73053,  52.40720,  34.01559,  37.82761,  46.89134,  70.08994,  35.14077,  70.08994
  16.28956,  36.81050,  20.62693,  33.87410,  37.01514,  58.84993,  57.04166,  51.43498,  29.18946,  56.36015,  58.84993
  34.90943,  13.89847,  46.52958,  14.44765,  85.05865,  10.70006,  54.00227,  37.04907,  53.93182,  36.25553,  85.05865
  17.54920,  66.15014,  87.46004,  32.48956,  41.98759,  76.72803,  34.27110,  22.79466,  66.03381,  16.37585,  87.46004
  95.75867,   1.63371,  33.28738,  14.75403,  40.75515,  96.95499,   1.88688,  58.58480,  61.50876,  27.03800,  96.95499
  31.82673,  26.01378,  69.22699,  39.99912,   8.47056,  89.16404,  13.81748,   8.40462,  20.14644,  94.68324,  94.68324
  25.81964,   3.98187,  76.94523,  67.50294,  80.02069,  51.54710,  22.25847,  30.35875,  44.54649,  79.44595,  80.02069
  51.85294,  72.86410,   7.55691,  50.30721,  44.23508,  78.79063,  32.01457,  61.07072,  49.35660,  18.10482,  78.79063
  19.43121,  42.31777,  72.73903,  86.71117,  21.83893,  49.13360,  34.72224,  86.38489,   5.92252,  16.18171,  86.71117
   5.56527,  14.93276,  58.58976,  89.25452,   1.15796,  25.58380,  39.61102,  28.50205,  65.05146,  86.39116,  89.25452
  72.12988,  35.47657,  99.33369,  94.32191,  28.93994,  64.09115,  36.37835,   2.93972,  41.96239,  70.18049,  99.33369
  76.15871,  92.40244,   9.34722,  15.53638,  11.39903,  91.80752,  17.62916,  95.90079,  94.07497,   9.13969,  95.90079
  91.57423,  20.18121,  31.26297,  22.07168,  17.72594,  73.56475,  45.17201,  56.44888,  36.60423,  91.84002,  91.84002
  98.73043,   7.20602,  93.10481,  34.66688,  83.18021,  46.32743,  85.69074,  44.50349,  64.88924,  14.04640,  98.73043
  71.96174,  21.44385,  19.34201,  44.83726,  82.61919,  80.44909,  20.85736,  26.10975,  87.84306,  65.91624,  87.84306
  34.10235,  72.35220,  80.15601,  41.85509,  71.16965,  54.33125,  61.59417,  49.47277,  76.21352,  10.83781,  80.15601
  34.99838,  89.11762,  76.17770,   9.62985,  26.14757,  64.69958,   2.63932,   3.77009,   4.32312,  84.61741,  89.11762
  46.71933,  70.25293,  49.01448,   0.57065,  15.62590,   7.93842,  81.20321,   7.54160,  79.39415,  87.39546,  87.39546
  34.26475,  10.27341,  87.98495,  22.33801,  26.56162,  15.37095,  15.92855,  58.71623,  58.80334,  52.55604,  87.98495
  33.22848,  38.83152,  19.42540,  47.14447,  17.81016,  79.19257,  43.30323,  91.83749,  79.20643,  37.28456,  91.83749
  90.37881,  95.60306,   4.89271,  41.24220,  35.91436,  95.05296,  34.48735,  84.62437,   9.98192,  62.17113,  95.60306
  97.03079,  42.37684,   2.11305,  76.99616,  25.89071,  66.46429,   2.40220,  82.92113,  76.84984,  85.58860,  97.03079
  89.94513,  43.60492,  60.55138,  80.15229,  88.44735,  25.23585,   9.62497,  20.51655,  65.96587,  34.36282,  89.94513
  88.02609,  16.33075,  27.36229,  13.48707,  34.20449,  20.96172,  76.87324,  66.52998,  10.10883,  44.42230,  88.02609
  59.58456,   7.76888,  63.75925,  10.45304,  39.82255,  19.88108,  91.86928,  98.28744,  32.99549,  81.29938,  98.28744
  65.97697,  63.37284,  57.86615,  72.89626,  34.56221,  83.80237,  84.70947,  22.80878,  67.97533,   1.68764,  84.70947
  75.33958,   6.48541,  92.50530,  88.62525,  50.40504,  11.77306,  13.85304,  74.36817,  19.35018,  78.36101,  92.50530
  22.99838,  10.94973,  90.81938,  21.17970,  55.27481,  15.35610,  71.61829,  77.35038,  55.85301,  11.64533,  90.81938
  50.88463,  56.31691,  52.23722,   3.25532,  84.09510,  50.69851,  29.23464,  92.57439,  13.44592,  36.45813,  92.57439
  14.49164,  27.09493,  54.67297,  71.84071,  47.64330,  28.61670,  93.99480,  99.31863,  15.17918,  48.43728,  99.31863
