x1,x2,x3,y1
  -5.00000,  -3.00000,  -5.00000,   0.00000
  -1.00000,   1.00000,  -9.00000,   0.00000
   4.00000,   8.00000,  -2.00000,   2.44949
   8.00000,  -3.00000,  -4.00000,   1.46309
   6.00000,   9.00000,   8.00000,   0.00000
   3.00000,  -1.00000,  -9.00000,   3.48010
  -2.00000,  -7.00000,  -5.00000,   1.50000
   8.00000,   7.00000,   2.00000,   0.00000
   2.00000, -10.00000,  -4.00000,   5.74456
   4.00000,  -6.00000,   7.00000,   0.00000
  -1.00000,  -1.00000,   1.00000,   2.23607
 -10.00000,   5.00000,  -2.00000,   0.00000
  -4.00000,  -1.00000,   0.00000,   0.25000
  -6.00000,   2.00000,   3.00000,   1.45297
  -3.00000,   8.00000,   0.00000,   2.66667
   0.00000,  -9.00000,   7.00000,   0.00000
  -1.00000,   8.00000,  -1.00000,   7.74597
  -1.00000,   3.00000,   2.00000,   4.12311
   3.00000,   2.00000,   3.00000,   0.00000
   4.00000,  -1.00000,  -5.00000,   2.25000
   9.00000,   3.00000,   5.00000,   0.00000
  -7.00000,   1.00000,  -5.00000,   0.00000
  -7.00000,  -9.00000,  -1.00000,   1.04002
   3.00000,   4.00000,   2.00000,   0.00000
   5.00000,   8.00000,  -9.00000,   3.12410
   8.00000,   3.00000,   5.00000,   0.00000
   4.00000,   5.00000,  -8.00000,   3.09233
  -9.00000,   5.00000,  -2.00000,   0.00000
   7.00000,   3.00000,   1.00000,   0.00000
  -4.00000,  -7.00000,  -4.00000,   0.00000
   0.00000,   0.00000,  -7.00000,   0.00000
   5.00000,   4.00000,   9.00000,   0.00000
  -5.00000,  -4.00000,   5.00000,   2.15407
  -8.00000, -10.00000,  -4.00000,   0.00000
   3.00000,   0.00000,  -5.00000,   2.58199
  -6.00000,   0.00000,   1.00000,   0.81650
   9.00000,   0.00000,  -7.00000,   1.76383
  -5.00000,  -6.00000,  -2.00000,   0.00000
  -8.00000,   1.00000,   4.00000,   1.41973
  -5.00000,  -7.00000,  -6.00000,   0.00000
   4.00000,  -4.00000,   8.00000,   0.00000
  -5.00000,   2.00000,   2.00000,   1.32665
   2.00000,  -3.00000,   0.00000,   1.50000
   8.00000,  -6.00000,  -9.00000,   2.25000
   5.00000,   7.00000,   3.00000,   0.00000
   1.00000,   9.00000,   9.00000,   6.70820
   1.00000,   7.00000,  -6.00000,   8.54400
  -5.00000,  -1.00000,  -8.00000,   0.00000
   4.00000,   0.00000,  -7.00000,   2.64575
  -6.00000,  -3.00000,  -4.00000,   0.00000
   1.00000,  -4.00000,  -8.00000,   6.92820
  -7.00000, -10.00000, -10.00000,   0.00000
  -3.00000,   6.00000,  -9.00000,   0.00000
  -4.00000,   7.00000,  -6.00000,   0.00000
   1.00000,   0.00000,  -2.00000,   2.82843
  -1.00000,   6.00000,   6.00000,   7.74597
   9.00000,   2.00000,   6.00000,   0.00000
  -9.00000,   6.00000,   9.00000,   2.10819
  -1.00000,  -2.00000,   9.00000,   6.32456
   9.00000,  -4.00000,  -2.00000,   1.04231
 -10.00000,  -1.00000,   1.00000,   0.64031
  -6.00000,   8.00000,  -8.00000,   0.00000
   5.00000,  -9.00000,  -7.00000,   2.97321
   5.00000,  -6.00000,   7.00000,   0.00000
  -8.00000,  -6.00000,  -6.00000,   0.00000
  -3.00000,   6.00000,   9.00000,   4.00000
   9.00000,   9.00000,  -8.00000,   2.13437
  -8.00000,   7.00000,   8.00000,   2.18303
   0.00000, -10.00000,  -9.00000,   0.00000
  -4.00000,   9.00000,  -4.00000,   1.03078
   7.00000,  -6.00000,  -6.00000,   2.04041
   3.00000,   3.00000,   0.00000,   1.00000
  -6.00000,   2.00000,  -9.00000,   0.00000
  -4.00000,   8.00000,   8.00000,   3.46410
   4.00000,   2.00000,  -1.00000,   1.11803
  -7.00000,  -4.00000,   8.00000,   2.21313
   0.00000,   3.00000,   5.00000,   0.00000
   8.00000,  -2.00000,   8.00000,   0.00000
  -9.00000,   2.00000,   6.00000,   1.64804
   0.00000,   3.00000,  -3.00000,   0.00000
   2.00000,  -6.00000,   0.00000,   3.00000
   5.00000,  -2.00000,  -6.00000,   2.22711
   4.00000,  -4.00000,   8.00000,   0.00000
  -3.00000,  -7.00000,   0.00000,   2.33333
  -2.00000,   6.00000,   0.00000,   3.00000
  -5.00000,   3.00000,  -7.00000,   0.00000
   4.00000, -10.00000,   4.00000,   1.50000
   2.00000,  -1.00000,  -8.00000,   4.03113
