x1,x2,x3,x4,y1
   9.94650,   5.41847,   9.74189,   1.13601,   0.52616
   4.26172,   4.90889,   4.66532,   3.05544,  -0.40200
   9.57702,   4.99059,   4.53721,   2.00118,   1.80851
   7.12460,   9.08424,   8.16947,   7.59573,  -3.41556
   4.07179,   2.54303,   8.83663,   2.18302,   0.22976
   2.31126,   3.88698,   6.21449,   3.21835,  -0.52592
   7.97746,   9.43378,   6.84956,   2.66154,  -0.34774
   6.32928,   2.97816,   8.89742,   8.86118,  92.47751
   8.66772,   8.68043,   1.41715,   5.04069,   0.00351
   1.87074,   6.26777,   3.16873,   6.96047,   1.15963
   4.05225,   2.68549,   5.40538,   9.47385,  -0.33594
   2.59752,   3.27604,   8.63935,   4.37171,  -0.15899
   2.26724,   6.92059,   5.54059,   3.58075,  -2.37435
   5.28283,   8.19905,   9.47080,   3.86514,  -0.52023
   8.79395,   5.08496,   2.95728,   4.50312,  -2.39934
   3.58000,   3.32675,   4.44284,   1.58410,   0.08859
   3.59895,   6.85482,   8.39181,   7.49189,  -3.61793
   3.13270,   2.13742,   5.33549,   1.00661,   0.22992
   9.50096,   1.01291,   9.92884,   3.40703,   1.30149
   9.02940,   2.48813,   7.89470,   9.85462,  -3.33751
   2.26706,   6.29453,   2.76148,   8.49779,   0.70210
   3.08132,   4.44206,   3.09611,   5.57352,   0.54926
   8.55971,   3.78257,   4.61333,   6.97470,  -2.02305
   4.09513,   2.86208,   1.61347,   8.53184,  -0.17823
   9.17145,   5.58560,   4.14597,   5.97773,  -1.95759
   7.13966,   8.23753,   8.06653,   9.83718,   0.62004
   5.51242,   4.96079,   1.09079,   7.08179,  -0.09208
   8.54771,   8.03872,   4.72943,   6.95827,  -0.22837
   6.27910,   4.82943,   8.28390,   8.70136,  -3.47255
   9.65987,   2.97751,   6.09657,   7.86417,  -3.78049
   4.79794,   5.57101,   1.95888,   9.03795,   0.10921
   1.13780,   2.57431,   5.76365,   5.59128,  -8.33381
   6.94989,   7.96970,   1.04334,   9.75803,   0.11702
   2.46689,   3.55010,   8.03344,   4.80967,  -0.33601
   5.74437,   3.39617,   5.48264,   8.35028,  -0.81886
   4.58265,   6.69395,   8.67220,   3.60889,  -0.41698
   4.81367,   9.26603,   8.39892,   8.50252,  42.97598
   1.03547,   4.01366,   1.66920,   7.56827,   0.50486
   5.87444,   4.50890,   9.19662,   2.97332,   0.21942
   7.59407,   2.69349,   9.97971,   8.30723,   2.93013
   3.28921,   7.67037,   4.75375,   7.76235,   1.45621
   2.60417,   3.51747,   8.03577,   5.66964,  -0.38599
   6.65372,   4.11819,   2.02152,   9.60934,  -0.33416
   4.42737,   2.16188,   7.66871,   9.98726,  -0.97712
   4.43963,   5.99850,   5.03461,   6.49732,   1.06574
   6.76552,   1.03163,   4.60724,   6.51878,  -2.99962
   4.74242,   2.39695,   1.65121,   6.02720,  -0.53598
   4.61588,   7.81491,   2.17219,   3.36162,   2.68956
   4.17372,   9.60787,   8.85485,   1.10746,  -0.70142
   6.19048,   3.27765,   1.44316,   3.88969,  -1.19060
   9.03978,   5.25408,   4.45306,   4.04771,   9.33943
   3.75941,   6.62043,   3.32418,   2.25025,  -2.66408
   7.38690,   4.76419,   3.50691,   5.09743,  -1.64896
   2.18527,   5.47782,   6.28597,   3.82355,  -1.33712
   4.59014,   6.23310,   7.62364,   1.66383,  -0.27567
   2.69845,   9.07264,   4.93700,   3.57288,  -4.67278
   9.02540,   1.06205,   7.28456,   6.26280,   7.79380
   3.05762,   9.06265,   5.82294,   3.37400,  -2.45210
   8.63964,   3.72486,   7.27471,   3.41696,   1.27400
   4.07017,   8.85974,   3.63000,   2.80356,  -5.79539
   7.99301,   7.34240,   4.40260,   8.16780,  -0.17280
   5.53469,   6.82565,   9.88457,   7.20348,  -0.48151
   2.89897,   6.11272,   5.03004,   1.58643,  -0.93325
   5.40961,   7.79047,   7.11071,   1.05603,  -0.39323
   7.70079,   7.07066,   1.26829,   9.29131,  -0.07854
   8.95541,   2.27305,   6.19099,   2.24672,   1.69419
   2.31173,   2.16857,   3.95625,   1.83222,   0.06740
   7.65445,   9.92024,   7.60174,   4.75220,  -0.79514
   1.53002,   7.84861,   9.63186,   9.65772, 244.37201
   3.17978,   7.37921,   5.03647,   3.43023,  -2.61444
   1.27656,   2.72063,   6.93104,   6.06829,  -1.67381
   4.61399,   5.63023,   4.70685,   3.51123,  -0.84997
   2.11920,   9.59527,   3.62921,   1.57441,  -3.63835
   7.79913,   2.65993,   7.45431,   9.60217,  -2.39271
   8.38538,   5.78475,   5.68332,   1.45724,   0.61538
   9.87313,   1.66329,   7.04206,   6.91394,  64.07597
   7.36964,   2.83292,   1.42673,   3.91295,  -1.82474
   8.47725,   1.67023,   6.30344,   8.71265,  -2.82542
   8.81390,   1.20508,   1.60746,   1.27239,  22.70807
   2.88217,   7.21035,   5.08274,   7.05682,   2.19250
   9.77156,   6.09214,   7.53777,   6.79927,   4.98230
   8.01443,   8.48610,   2.78456,   2.28031,  -0.93539
   9.15312,   6.07451,   8.74255,   6.20175,   1.21167
   4.01510,   9.33672,   5.03847,   5.25361,  24.73526
