x1,x2,x3,y1
   6.30651,   2.23126,   6.95826,   0.29063
   9.88415,   9.07714,   6.21059,   2.32607
   1.58401,   1.97679,   5.02777,   0.12387
   4.04626,   3.90232,   9.15452,   0.18841
   1.90746,   7.76275,   8.44665,   0.20754
   7.09478,   3.22097,   3.23289,   2.18647
   8.90462,   1.16697,   1.73856,   3.43792
   3.67839,   6.31248,   4.90637,   0.96458
   4.99568,   1.93914,   3.27442,   0.90352
   4.30934,   6.85848,   3.55084,   2.34410
   8.57808,   8.46750,   2.37209,  12.90875
   8.90587,   9.35566,   3.10921,   8.61888
   5.00246,   2.86214,   1.24435,   9.24678
   3.24068,   2.34451,   7.13318,   0.14932
   3.10661,   9.76648,   2.22335,   6.13774
   3.16826,   2.73970,   6.78791,   0.18839
   5.24229,   7.82321,   4.13976,   2.39307
   3.93780,   6.82259,   8.27551,   0.39230
   4.48808,   3.27680,   7.63269,   0.25244
   4.87834,   7.23860,   6.56717,   0.81878
   5.13603,   7.27722,   4.02088,   2.31180
   7.07749,   5.08124,   4.14893,   2.08919
   4.38628,   2.37470,   6.51320,   0.24554
   9.52406,   4.54514,   6.48608,   1.02898
   8.76770,   5.08746,   3.74440,   3.18143
   3.92332,   2.28623,   7.41979,   0.16293
   1.48579,   6.77472,   2.22711,   2.02939
   7.31748,   6.10925,   1.88548,  12.57499
   3.05700,   3.84798,   9.29849,   0.13605
   2.84250,   9.00098,   1.11659,  20.52108
   7.61541,   8.28533,   8.17576,   0.94395
   2.86146,   9.08986,   4.13210,   1.52336
   8.92441,   1.57887,   5.61652,   0.44667
   5.31685,   9.56329,   1.87766,  14.42210
   3.57809,   5.98041,   2.25662,   4.20208
   9.79721,   4.99630,   9.88063,   0.50140
   7.40694,   8.61773,   9.25423,   0.74533
   7.99807,   5.45837,   9.14109,   0.52246
   3.69993,   9.61422,   6.85680,   0.75660
   4.58089,   4.81173,   5.45277,   0.74134
   6.50527,   8.59022,   8.84630,   0.71408
   4.09449,   6.25784,   4.44936,   1.29428
   9.26284,   5.76786,   2.47749,   8.70429
   1.69771,   7.49642,   2.64826,   1.81467
   8.98245,   9.89340,   8.40000,   1.25945
   4.53378,   3.70305,   8.00515,   0.26199
   1.96028,   4.22438,   3.83851,   0.56202
   6.08103,   6.26864,   8.68336,   0.50556
   4.33904,   9.62774,   6.92550,   0.87100
   6.26020,   5.87357,   4.81574,   1.58549
   9.02836,   4.33900,   5.61913,   1.24068
   6.49740,   7.62528,   6.85080,   1.05563
   2.50034,   3.57646,   1.89716,   2.48453
