x1,x2,x3,y1
   8.68774,   1.97913,   8.28438,   0.25053
   8.31026,   3.80449,   4.65951,   1.45623
   9.56008,   7.18714,   3.28722,   6.35856
   1.53252,   2.15927,   9.93690,   0.03351
   5.38193,   2.96277,   9.62906,   0.17198
   3.91638,   3.08538,   5.31781,   0.42730
   8.99971,   1.27458,   5.11555,   0.43834
   8.32977,   9.25475,   3.16980,   7.67247
   2.65004,   6.13259,   3.06024,   1.73535
   5.56382,   2.48884,   9.97758,   0.13910
   1.43085,   4.64665,   8.39178,   0.09441
   1.23320,   6.84884,   1.61385,   3.24282
   7.86176,   4.38448,   6.04253,   0.94406
   4.24588,   8.97787,   8.80189,   0.49203
   9.11209,   9.72530,   9.86313,   0.91094
   8.58424,   9.70423,   8.72979,   1.09309
   4.93791,   2.26259,   6.27136,   0.28407
   6.13502,   2.02161,   8.28592,   0.18065
   5.03016,   6.41753,   5.07445,   1.25364
   3.84339,   1.30488,   4.33564,   0.26680
   2.39508,   4.57678,   1.00403,  10.87388
   1.86882,   7.89012,   8.72719,   0.19360
   3.97055,   6.00609,   7.59373,   0.41355
   7.19741,   7.89869,   5.24912,   2.06328
   8.75593,   7.69113,   1.65046,  24.72190
   4.56650,   1.03538,   6.86383,   0.10036
   2.98667,   9.83787,   3.06322,   3.13134
   3.19398,   4.30093,   1.26627,   8.56727
   4.02764,   2.47055,   6.09684,   0.26769
   3.15590,   4.76623,   5.94264,   0.42593
   4.36562,   9.28850,   1.32831,  22.98219
   2.13786,   5.51127,   5.66718,   0.36686
   2.15240,   5.60481,   8.53922,   0.16544
   9.04033,   1.42325,   7.47641,   0.23019
   4.24017,   1.51315,   2.26930,   1.24590
   8.34488,   8.04507,   2.59212,   9.99168
   4.10343,   9.18852,   1.23356,  24.77826
   4.86908,   3.22945,   1.05140,  14.22463
   9.43872,   2.69694,   4.74788,   1.12923
   8.48950,   5.04638,   1.33358,  24.08938
   5.52294,   7.80771,   5.77166,   1.29447
   9.15143,   8.32218,   3.94933,   4.88292
   3.34996,   1.80428,   2.04158,   1.45014
   6.29583,   8.54167,   2.18221,  11.29281
   1.26933,   7.11926,   3.88277,   0.59941
   6.73223,   4.52249,   3.10390,   3.16025
   1.28540,   6.72010,   5.73048,   0.26305
   6.23716,   1.73231,   1.78324,   3.39775
   1.53061,   1.27988,   8.98426,   0.02427
   8.42401,   9.85500,   8.50006,   1.14903
   7.21745,   9.22844,   7.40409,   1.21498
   1.32956,   9.78394,   3.84833,   0.87837
   7.53977,   6.15270,   5.35354,   1.61861
   4.26316,   6.80514,   4.66615,   1.33245
   2.49349,   2.88096,   6.84035,   0.15353
   4.25177,   7.85514,   5.35944,   1.16275
   9.16672,   8.34614,   7.37745,   1.40568
   3.14200,   9.45205,   3.31212,   2.70720
   1.40486,   3.13442,   5.98300,   0.12301
   2.84669,   9.69508,   9.88622,   0.28238
   5.85706,   7.69829,   8.31125,   0.65274
   7.78509,   8.18696,   1.99619,  15.99496
   2.28835,   4.03431,   5.03315,   0.36443
   2.61736,   8.08750,   1.35920,  11.45806
   8.53054,   7.26564,   3.79504,   4.30347
   1.39641,   6.58037,   6.83337,   0.19679
   6.88561,   1.91748,   9.54302,   0.14498
   8.94988,   5.61963,   8.50501,   0.69530
   8.85938,   3.07916,   2.17359,   5.77404
   1.31659,   6.38864,   8.59716,   0.11380
   4.73143,   7.30240,   4.30871,   1.86108
   7.52061,   2.03118,   4.42409,   0.78047
   4.43625,   1.74661,   7.25011,   0.14741
   7.37141,   3.82217,   7.86211,   0.45581
   9.08894,   7.45305,   6.15133,   1.79023
   3.60764,   7.43567,   8.02167,   0.41688
   8.13774,   7.12868,   1.01025,  56.83972
   3.99619,   9.69079,   9.92532,   0.39311
   1.14308,   3.04264,   6.88033,   0.07347
   3.13195,   4.58101,   3.70945,   1.04269
   5.03317,   4.58477,   5.65990,   0.72035
   2.99735,   8.60445,   2.28502,   4.93948
   5.62066,   4.63367,   5.92020,   0.74309
   4.42353,   6.11739,   4.19634,   1.53672
   2.22798,   8.04761,   1.92107,   4.85837
   3.22167,   4.75514,   8.89909,   0.19344
   6.73903,   7.63089,   2.03575,  12.40862
   4.33412,   8.91350,   2.09127,   8.83344
   7.14996,   3.30856,   2.55950,   3.61103
   7.39660,   8.96486,   3.59956,   5.11774
   9.43331,   1.77509,   2.31455,   3.12572
   1.70994,   5.66443,   1.39780,   4.95728
   6.93694,   7.74994,   1.31111,  31.27414
   8.98826,   4.13755,   4.98685,   1.49543
   4.99107,   5.93102,   5.70556,   0.90934
   7.95713,   8.64409,   5.13943,   2.60403
   1.67944,   9.64580,   8.71713,   0.21318
   1.13708,   2.12636,   9.09095,   0.02926
   1.83847,   6.73823,   4.41345,   0.63599
   5.05450,   8.58811,   6.10783,   1.16360
   4.38864,   7.01697,   4.94286,   1.26045
   8.44826,   4.66298,   4.90282,   1.63885
   7.81169,   8.77188,   6.45093,   1.64662
   6.16339,   6.86107,   2.39727,   7.35832
   9.88004,   1.13876,   2.00332,   2.80345
   5.73085,   2.13744,   9.01026,   0.15088
   1.35080,   6.83270,   3.69693,   0.67531
   2.87979,   6.27774,   4.44166,   0.91638
   3.36476,   7.07113,   7.01375,   0.48366
   3.49759,   5.31487,   6.92232,   0.38793
   8.84901,   5.73588,   4.55418,   2.44723
   4.99006,   5.36251,   9.30172,   0.30928
   6.65123,   4.51796,   3.81344,   2.06638
   5.23307,   2.04153,   6.45314,   0.25655
   1.43514,   4.82825,   8.92432,   0.08700
   5.29056,   1.66397,   4.58404,   0.41894
   5.14180,   2.65137,   1.99358,   3.43018
   3.83114,   3.85867,   7.12586,   0.29113
   1.76704,   2.00716,   8.34899,   0.05088
   8.60624,   1.94894,   9.08110,   0.20339
   4.69016,   5.30786,   7.60776,   0.43012
   5.67149,   1.57475,   9.71737,   0.09458
   4.63709,   1.68853,   8.38767,   0.11129
   9.10143,   4.67221,   4.91680,   1.75900
   7.92979,   8.06227,   3.38114,   5.59232
   8.09107,   5.19153,   7.28067,   0.79243
   8.01435,   2.46049,   1.79185,   6.14170
   1.53536,   6.08978,   2.44326,   1.56629
   8.93338,   9.02966,   3.11359,   8.32081
   1.86333,   7.37759,   2.85472,   1.68685
   1.41242,   3.68054,   7.30058,   0.09754
   4.79989,   3.33018,   1.52920,   6.83552
   6.82807,   2.18797,   8.08963,   0.22829
   4.42906,   5.85702,   1.61071,   9.99898
   5.99686,   4.21998,   4.63984,   1.17551
   5.12428,   5.51625,   6.70893,   0.62802
   3.12498,   5.45676,   6.94887,   0.35315
   8.37070,   9.13162,   2.82581,   9.57247
   3.60919,   7.13767,   2.05916,   6.07553
   6.95716,   8.63181,   4.17924,   3.43827
   5.52892,   7.82494,   4.09207,   2.58366
   3.32760,   7.41046,   3.69040,   1.81063
   1.35327,   9.96680,   8.99067,   0.16686
   1.98389,   9.16958,   5.00359,   0.72661
   5.17429,   2.49410,   4.67505,   0.59046
   3.54840,   8.18073,   1.80991,   8.86153
   4.51032,   4.12567,   6.40115,   0.45414
   4.56068,   6.54646,   6.96318,   0.61577
   6.29293,   1.49963,   1.76705,   3.02230
   4.39699,   5.51877,   1.89544,   6.75425
   8.80350,   7.68643,   3.33261,   6.09270
   5.10214,   2.07358,   3.35469,   0.94009
   2.53071,   5.35121,   2.19115,   2.82065
   6.92943,   4.39535,   1.23559,  19.94986
   4.07956,   9.72875,   2.94933,   4.56270
   3.01803,   1.86242,   2.43370,   0.94901
   7.86202,   6.68947,   6.58873,   1.21150
   6.19802,   3.02288,   1.17714,  13.52122
   7.31916,   6.05827,   5.96749,   1.24517
   3.97908,   2.56361,   3.45657,   0.85377
   7.52127,   4.83000,   2.45427,   6.03109
   3.25432,   2.17959,   2.07874,   1.64147
   5.00985,   1.86685,   1.39024,   4.83900
   5.42933,   7.69046,   8.94984,   0.52128
   5.89485,   6.91484,   4.51476,   1.99979
   9.05107,   1.29300,   9.89593,   0.11950
   5.30928,   2.31332,   2.27614,   2.37068
   1.65345,   3.39768,   7.84595,   0.09126
   7.20775,   1.07529,   8.82266,   0.09957
   5.41786,   8.93534,   6.59825,   1.11194
   4.61362,   1.77221,   9.01632,   0.10058
   4.21642,   7.40711,   4.33907,   1.65882
   3.50423,   2.52929,   6.86762,   0.18792
   2.84713,   1.13879,   4.15684,   0.18764
   9.86808,   1.54858,   5.46066,   0.51248
   2.67162,   3.82465,   2.42827,   1.73289
   1.78023,   8.59161,   8.35838,   0.21893
   3.02269,   5.04988,   1.95936,   3.97601
   3.45210,   7.44802,   5.18485,   0.95643
   8.10825,   4.57158,   2.44940,   6.17838
   5.83217,   8.93416,   5.14394,   1.96921
   9.05068,   9.64032,   3.96217,   5.55785
   5.28901,   6.30921,   2.04640,   7.96836
   3.88363,   2.25411,   2.96579,   0.99525
   9.50417,   4.32805,   3.85619,   2.76624
   9.24932,   4.50282,   4.93731,   1.70850
   2.11708,   4.09143,   6.31909,   0.21692
   5.16640,   6.41389,   8.26513,   0.48508
   8.98535,   6.21969,   5.11856,   2.13309
   6.99125,   3.74088,   9.04272,   0.31984
   1.14978,   8.87331,   9.75898,   0.10713
   5.00946,   8.74778,   5.72380,   1.33758
   9.19518,   7.91201,   5.27535,   2.61423
   5.94720,   5.36356,   8.66830,   0.42452
   3.94235,   1.08189,   7.00282,   0.08697
   3.36595,   2.86977,   9.96812,   0.09721
   2.86321,   3.98832,   5.81866,   0.33728
   4.54532,   6.99471,   8.75544,   0.41474
   8.78246,   2.36448,   2.84401,   2.56738
   2.55523,   5.53479,   1.70539,   4.86277
   6.32253,   3.74591,   2.41014,   4.07722
   2.07686,   2.96090,   1.12330,   4.87345
   9.68396,   1.48181,   9.93326,   0.14543
   4.26382,   3.74153,   9.34083,   0.18284
   1.67349,   8.81182,   1.02752,  13.96721
   5.95416,   8.56471,   5.13293,   1.93554
   5.93986,   6.75757,   3.60436,   3.08966
   5.58934,   3.20695,   2.37152,   3.18712
   6.55693,   2.34021,   8.49360,   0.21270
   8.69085,   3.35257,   1.63877,  10.84941
   4.12052,   8.02423,   3.11494,   3.40765
   4.30394,   3.37657,   5.87941,   0.42041
   6.06360,   3.84256,   6.59211,   0.53617
   6.11372,   4.20886,   1.42374,  12.69428
   2.52315,   5.31456,   4.55583,   0.64606
   7.44908,   6.63934,   2.70724,   6.74799
   1.36892,   8.63589,   7.05763,   0.23734
   3.13447,   1.21297,   2.74428,   0.50484
   9.32985,   8.07833,   1.81435,  22.89559
   1.95644,   9.41810,   2.27726,   3.55307
   9.32956,   8.50477,   7.42623,   1.43876
   7.62042,   4.63087,   3.06050,   3.76754
   6.01264,   4.06345,   8.20086,   0.36328
   6.43130,   5.30904,   6.10469,   0.91619
   6.60838,   8.38550,   6.19980,   1.44168
   5.79326,   4.82220,   2.12924,   6.16197
   9.67156,   5.68659,   5.52331,   1.80281
   3.01476,   2.78728,   8.77740,   0.10907
   2.62491,   4.22438,   4.91328,   0.45934
   7.14120,   1.87021,   9.04089,   0.16340
   3.75632,   7.43557,   9.24198,   0.32700
   8.00281,   9.13431,   1.24311,  47.30437
   3.14832,   6.57556,   4.26780,   1.13659
   3.01875,   1.88867,   1.37151,   3.03100
   7.86912,   7.27715,   7.78734,   0.94430
   9.46562,   3.11178,   1.88319,   8.30558
   1.44089,   8.94591,   5.72926,   0.39270
   2.60471,   4.78032,   7.90924,   0.19904
   2.27491,   1.96969,   2.81931,   0.56374
   3.59028,   8.50214,   2.63050,   4.41144
   2.38540,   3.70339,   2.91530,   1.03943
   3.50651,   7.92578,   5.92451,   0.79179
   5.42576,   8.23464,   3.70890,   3.24799
   2.91078,   2.80767,   5.60842,   0.25982
   5.77589,   1.94171,   7.47713,   0.20060
   2.75019,   2.85907,   3.35020,   0.70056
   5.13168,   2.60086,   5.91094,   0.38200
   1.19815,   3.33127,   8.30944,   0.05781
   5.62007,   6.97030,   6.60032,   0.89922
   4.87772,   4.04527,   3.05985,   2.10748
   5.70223,   5.70072,   2.58789,   4.85381
   2.21958,   2.67322,   5.56902,   0.19131
   3.19570,   7.78731,   7.02050,   0.50491
   8.40570,   6.63010,   2.01990,  13.65945
   6.77426,   7.02488,   4.10208,   2.82808
   9.56363,   6.73085,   7.09953,   1.27713
   6.26919,   4.58764,   6.24617,   0.73718
   8.37753,   8.18778,   3.82424,   4.69022
   8.76137,   8.25429,   9.74902,   0.76090
   3.82563,   7.75192,   4.47135,   1.48332
   5.83898,   7.07619,   6.17190,   1.08467
   8.16861,   5.01187,   6.43833,   0.98764
   4.52290,   5.77980,   9.44842,   0.29283
   9.05282,   2.72382,   1.20132,  17.08621
   2.67116,   4.55760,   5.26664,   0.43890
   7.49291,   3.69665,   9.61329,   0.29972
   6.85211,   9.17413,   6.96825,   1.29462
   1.04965,   9.10372,   1.43482,   4.64157
   7.10375,   7.16439,   1.56439,  20.79598
   8.34927,   9.83563,   2.57638,  12.37175
   9.64648,   7.87535,   5.43546,   2.57137
   5.18098,   4.48987,   3.97483,   1.47234
   7.45804,   9.41488,   7.98227,   1.10201
   5.52494,   9.25868,   9.88195,   0.52383
   5.68472,   2.13491,   4.88226,   0.50915
   5.19082,   9.42198,   5.63684,   1.53924
   4.93530,   6.77383,   2.04633,   7.98356
   9.78732,   3.51501,   5.64336,   1.08022
   9.97413,   2.88246,   6.33412,   0.71658
   8.27659,   6.78843,   5.01929,   2.23016
   2.89856,   7.64620,   2.51449,   3.50531
   7.71032,   1.00577,   5.44153,   0.26190
   9.13316,   2.95282,   6.56325,   0.62607
   3.39529,   3.25908,   3.19681,   1.08278
   5.83331,   9.56193,   3.02619,   6.09069
   5.57320,   7.99946,   8.97466,   0.55351
   4.45747,   6.74423,   9.49308,   0.33359
   1.61732,   2.26426,   4.08017,   0.21997
   5.33105,   4.05427,   1.59972,   8.44567
   5.66588,   5.75676,   4.05962,   1.97913
   4.10829,   5.98610,   4.84314,   1.04846
   7.80742,   7.50182,   3.94793,   3.75780
   1.85603,   9.90909,   9.65543,   0.19728
   9.41280,   5.26499,   9.21414,   0.58372
   2.24146,   5.40627,   7.49741,   0.21558
   4.52802,   2.08725,   5.64710,   0.29637
   6.42894,   4.87626,   2.29618,   5.94585
   5.00273,   5.48553,   7.63724,   0.47049
   3.34328,   7.00012,   2.94830,   2.69238
   7.29749,   7.33940,   6.64808,   1.21183
   4.57493,   1.78730,   1.77254,   2.60250
   7.38621,   7.03172,   5.35652,   1.81017
   1.76481,   3.36916,   7.14090,   0.11660
   7.03397,   6.97251,   3.33877,   4.39964
   6.17149,   2.48601,   6.01117,   0.42459
   7.54235,   8.04721,   5.25879,   2.19473
   5.49226,   8.49063,   9.69363,   0.49627
   6.26163,   6.80113,   6.44522,   1.02516
   6.35029,   8.81453,   9.78498,   0.58462
   6.31437,   6.26714,   7.21938,   0.75928
   5.23131,   4.83080,   4.33529,   1.34460
   5.34193,   9.77713,   8.91059,   0.65780
   3.26795,   6.76178,   2.05941,   5.21015
   9.98094,   9.08490,   4.60505,   4.27586
   2.10819,   7.10526,   1.58142,   5.98954
   9.07885,   7.74020,   2.34978,  12.72711
   5.58501,   7.21096,   5.45124,   1.35527
   6.94171,   6.93314,   7.19487,   0.92972
   6.50380,   4.37498,   8.43249,   0.40016
   3.46518,   8.55079,   2.60301,   4.37302
   5.28733,   9.99782,   2.14924,  11.44387
   2.49243,   1.10493,   6.06819,   0.07479
   6.75259,   6.50842,   8.00728,   0.68545
   1.86981,   5.49847,   8.97579,   0.12761
   2.14927,   6.13216,   4.31006,   0.70948
   4.82965,   6.34442,   7.05485,   0.61565
   5.82721,   4.94152,   2.39122,   5.03598
   7.82681,   1.46572,   2.18946,   2.39311
   7.31379,   1.43245,   4.47611,   0.52290
   7.13376,   3.88835,   7.06716,   0.55538
   6.82732,   8.82046,   2.16076,  12.89819
   3.40710,   7.57173,   6.57448,   0.59684
   6.91427,   6.52394,   4.83651,   1.92838
   9.59515,   2.30238,   5.97028,   0.61978
   3.50850,   9.26535,   1.59204,  12.82551
   1.19787,   1.57590,   7.85552,   0.03059
   1.83793,   7.35625,   6.59031,   0.31130
   1.26822,   5.11620,   8.56254,   0.08850
   9.47247,   6.13702,   4.65170,   2.68657
   5.45532,   5.74526,   9.48704,   0.34823
   9.16397,   9.19911,   8.88400,   1.06810
   7.40897,   3.59616,   8.74851,   0.34812
   7.81869,   8.37414,   9.12864,   0.78571
   4.86583,   1.17002,   6.92157,   0.11883
   3.62890,   2.08754,   2.34517,   1.37740
   9.38215,   2.32682,   4.26262,   1.20147
   8.02868,   1.68462,   9.92992,   0.13717
   2.03985,   9.67280,   3.76042,   1.39534
   4.64761,   6.98987,   5.05593,   1.27086
   1.90475,   1.90655,   8.80261,   0.04687
   7.05694,   2.82076,   9.39518,   0.22551
   5.99895,   2.23834,   4.63132,   0.62602
   4.98173,   5.09725,   7.64336,   0.43466
   9.05707,   7.98955,   8.86088,   0.92163
   6.46176,   5.60493,   4.66619,   1.66340
   2.66419,   8.09958,   1.43775,  10.43904
   5.91043,   2.40375,   4.59905,   0.67170
   3.94945,   6.71389,   6.47169,   0.63310
   7.82367,   3.03780,   6.21611,   0.61508
   6.48769,   4.02517,   7.18360,   0.50605
   8.87825,   8.23309,   1.51688,  31.76776
   2.86827,   6.39777,   6.80772,   0.39595
   5.84378,   6.54394,   1.80722,  11.70872
   5.80817,   4.02862,   5.18800,   0.86935
   1.65763,   8.59750,   9.82172,   0.14774
   3.34175,   2.50164,   9.61923,   0.09035
   8.07030,   2.14703,   3.98920,   1.08882
   3.47839,   1.02082,   4.40044,   0.18337
   1.78731,   2.65206,   5.35509,   0.16529
   5.78023,   5.49155,   2.96534,   3.60986
   2.92178,   4.37705,   9.53946,   0.14053
   9.66310,   4.01779,   1.82602,  11.64369
   4.64370,   7.74532,   2.12540,   7.96204
   6.21752,   7.39551,   1.11316,  37.10806
   3.85317,   6.97736,   3.25120,   2.54344
   3.80831,   9.00693,   6.93783,   0.71263
   4.11107,   9.01404,   9.59519,   0.40250
   1.81709,   5.07358,   3.38466,   0.80475
   4.21237,   8.82501,   2.68482,   5.15717
   7.63891,   1.65481,   2.36064,   2.26841
   9.15383,   2.31968,   7.82412,   0.34686
   3.81053,   7.45089,   8.51905,   0.39121
   9.90816,   5.41414,   5.42693,   1.82144
   2.69303,   2.55932,   6.88858,   0.14525
   8.12425,   5.27622,   9.85662,   0.44121
   9.86757,   1.97874,   9.74765,   0.20549
   2.06406,   8.77025,   5.45606,   0.60810
   4.35276,   8.50122,   5.34603,   1.29474
   1.64456,   7.70414,   7.49219,   0.22571
   5.25226,   2.05758,   4.73795,   0.48142
   4.63806,   6.24385,   7.25346,   0.55043
   6.22741,   9.00051,   2.58408,   8.39387
   3.92441,   5.18878,   5.29612,   0.72598
   1.49539,   4.02013,   7.53095,   0.10600
   9.11868,   3.00724,   6.63897,   0.62215
   4.05087,   3.17415,   6.49902,   0.30442
   8.67204,   2.86869,   9.92578,   0.25251
   8.37193,   9.19652,   7.90590,   1.23182
