x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,y1
   5.89612,   1.36807,   6.62029,   9.87128,   8.97460,   5.78955,   0.64889,   1.08533,   4.47530,   3.38473,  48.11416
   3.22480,   9.06058,   1.00829,   7.51417,   8.27405,   6.77198,   2.46774,   2.48099,   8.78291,   0.18552,  49.77103
   0.82062,   2.97599,   5.90275,   4.34041,   4.43965,   1.04349,   2.52713,   3.67704,   6.50942,   2.83426,  35.07077
   8.42009,   8.29723,   1.52454,   8.78430,   9.28406,   2.34357,   4.44718,   2.06905,   0.27150,   2.48964,  47.93117
   1.49390,   6.81465,   2.34068,   9.74053,   1.35928,   2.40918,   1.93300,   6.43101,   4.71366,   7.58135,  44.81724
   3.48862,   3.26423,   6.46955,   8.08389,   3.87564,   2.52978,   7.36966,   4.30926,   6.93178,   6.18575,  52.50816
   4.59559,   6.97469,   3.35654,   6.75277,   4.53471,   3.49881,   3.76253,   1.52745,   6.12578,   9.47117,  50.60004
   3.93905,   6.09564,   8.63078,   4.54162,   3.04933,   3.24813,   1.42915,   7.13310,   0.53977,   6.41636,  45.02293
   1.36346,   7.01942,   5.67695,   0.98386,   2.28556,   3.16443,   9.22054,   2.04722,   8.88998,   0.12955,  40.78095
   7.35046,   8.09481,   7.97307,   2.06829,   8.98873,   3.48011,   8.80490,   0.64319,   5.12947,   4.79650,  57.32952
   9.51477,   0.97518,   2.86454,   5.53379,   1.39625,   9.77468,   4.44033,   9.86736,   7.11882,   8.46414,  59.94987
   9.17137,   7.77564,   4.95374,   9.04566,   2.99992,   9.57136,   6.50755,   3.97877,   4.23525,   4.94753,  63.18678
   6.11696,   8.43358,   8.71811,   3.43832,   5.84205,   3.83262,   9.18093,   5.29762,   1.64166,   0.77523,  53.27708
   7.21824,   1.83140,   8.86939,   9.88156,   8.22222,   3.92643,   3.00339,   7.78349,   1.06698,   3.58265,  55.38574
   3.15390,   5.64559,   5.85404,   8.53706,   3.71005,   9.58638,   6.58389,   5.84467,   5.41508,   4.23971,  58.57037
   8.92040,   3.71000,   5.13237,   6.10822,   7.36142,   6.50089,   1.66704,   2.86273,   0.99684,   8.89991,  52.15982
   5.37926,   7.91373,   9.16765,   5.90645,   1.07834,   4.43176,   3.98029,   7.79227,   0.58425,   6.45613,  52.69013
   1.01498,   5.59320,   3.71605,   3.32061,   3.13160,   7.53286,   0.99707,   3.51176,   0.21695,   5.31082,  34.34592
   8.33160,   9.46249,   6.11035,   1.57518,   2.49646,   5.50539,   3.73120,   6.27861,   1.89658,   5.73976,  51.12762
   2.93468,   2.02605,   7.75396,   3.91879,   5.23840,   0.71775,   8.18266,   4.61116,   2.27335,   2.00314,  39.65993
   2.53250,   1.22144,   2.35075,   9.30832,   9.30545,   3.74113,   5.25062,   3.79390,   1.51163,   2.54409,  41.55983
   7.73147,   5.47400,   7.31523,   3.52999,   1.13788,   9.22040,   5.34727,   1.01276,   0.90578,   1.10857,  42.78334
   4.20064,   6.16443,   8.55515,   2.11297,   0.32472,   6.09079,   2.35909,   2.02680,   1.19158,   5.41663,  38.44280
   2.38591,   5.07837,   1.98582,   7.56843,   2.86741,   0.48325,   6.00632,   6.58351,   0.16015,   5.13737,  38.25654
   4.81992,   6.68526,   2.29284,   0.83958,   9.03373,   3.72995,   1.70625,   1.13468,   0.63246,   7.84834,  38.72300
   3.02151,   1.00240,   9.09987,   4.51080,   3.42255,   7.61055,   0.90555,   1.13213,   4.03449,   6.97634,  41.71617
   4.17169,   3.93027,   1.51221,   5.13086,   5.09457,   2.29496,   2.71417,   3.17707,   8.84620,   1.40884,  38.28084
   8.63166,   3.88761,   2.78606,   0.75201,   4.28312,   9.52865,   0.49441,   0.53751,   6.99231,   7.11375,  45.00708
   7.35442,   7.57720,   6.76584,   0.53185,   8.51943,   1.77010,   7.96864,   1.44220,   2.45772,   6.50816,  50.89557
   3.17581,   4.69753,   0.56367,   1.68187,   2.30826,   6.31277,   5.19656,   1.88981,   7.94263,   7.22366,  40.99257
   9.74718,   2.24786,   1.39432,   6.65772,   9.47145,   5.48587,   3.42737,   6.10887,   5.44410,   3.86916,  53.85389
   4.14752,   0.05220,   7.39871,   0.69597,   3.16248,   0.83494,   3.17721,   0.22884,   6.85019,   8.16309,  34.71116
   8.77350,   7.27044,   7.82253,   5.65434,   1.89610,   5.74564,   5.93945,   9.11121,   8.86263,   6.39024,  67.46606
   2.21495,   6.00499,   4.09143,   6.33026,   7.36753,   1.07483,   6.64483,   3.93051,   5.23669,   1.22714,  44.12316
   5.10222,   3.76601,   1.44428,   6.63398,   7.48815,   7.49333,   4.88100,   8.06903,   4.69169,   8.98057,  58.55025
   5.94751,   3.41630,   6.69218,   0.98909,   5.33304,   5.89079,   0.58116,   6.38970,   4.46604,   7.19653,  46.90234
   7.75712,   0.84746,   8.38378,   7.28368,   1.48089,   6.03917,   7.35036,   6.68807,   6.04554,   8.17691,  60.05296
   7.57264,   8.15906,   5.14981,   1.14093,   8.18902,   0.53601,   4.99177,   7.22616,   5.57763,   6.92275,  55.46578
   0.64895,   0.47674,   4.61286,   9.14937,   6.55438,   1.50897,   0.32858,   5.25687,   2.61168,   3.92096,  35.06936
   3.80412,   2.52232,   8.95893,   3.56051,   2.72484,   1.77040,   9.29383,   1.71141,   2.17775,   5.36647,  41.89059
   2.75952,   8.00783,   6.36452,   7.02051,   5.49752,   8.66896,   2.43540,   8.64252,   2.01431,   6.37866,  57.78975
   3.72887,   0.93852,   3.24557,   9.89197,   1.94142,   9.00314,   2.81258,   4.62151,   6.08090,   6.03933,  48.30382
   2.87370,   2.22524,   9.71413,   4.49325,   2.33567,   8.35871,   0.90413,   1.67525,   0.22530,   7.55300,  40.35836
