x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,y1
   5.33073,   3.98181,   9.13304,   1.49290,   8.92181,   2.89518,   2.46768,   6.69238,   6.85755,   8.81423,  56.58730
   5.39360,   7.96802,   4.89290,   1.05099,   1.62235,   0.08946,   8.99216,   7.60416,   0.21483,   2.48446,  40.31293
   7.73261,   0.08859,   4.25861,   5.08172,   7.29933,   2.06981,   1.38825,   2.96493,   3.54673,   5.51566,  39.94623
   4.54989,   3.70179,   6.13122,   4.40335,   1.80171,   4.07022,   6.12300,   2.79691,   3.59311,   2.33443,  39.50562
   5.80737,   0.81803,   3.88069,   3.86249,   2.51008,   0.09837,   9.46258,   0.44112,   0.54388,   6.95760,  34.38222
   1.18510,   1.00395,   6.12652,   9.43377,   5.18459,   2.86602,   8.79442,   7.77185,   0.95015,   5.42320,  48.73956
   0.92693,   3.44711,   0.06652,   6.33173,   1.05816,   8.30611,   1.84981,   1.11696,   4.45171,   4.39502,  31.95006
   3.43373,   8.58987,   2.51292,   8.18346,   4.35267,   7.04565,   5.68847,   8.07001,   4.22791,   7.08074,  59.18544
   3.48174,   6.19897,   6.39417,   0.01964,   1.86819,   1.96338,   9.26459,   9.88669,   7.20662,   7.16146,  53.44546
   1.90937,   0.40851,   4.46919,   0.01886,   6.06130,   6.00025,   2.41759,   8.42326,   3.65307,   2.02924,  35.39065
   8.19655,   1.08660,   8.05927,   4.86692,   1.77878,   3.47007,   9.46552,   5.29722,   5.01142,   7.73338,  54.96573
   7.24330,   7.00256,   0.86428,   8.03738,   9.63457,   1.31207,   1.42464,   6.71748,   0.26957,   4.63679,  47.14263
   7.57736,   3.66696,   6.20570,   0.78908,   3.30451,   5.45750,   7.24777,   5.83027,   7.34062,   1.96888,  49.38867
   6.71120,   0.99524,   9.86971,   2.14255,   9.24501,   7.76843,   5.60752,   5.03514,   1.89643,   5.34358,  54.61482
   3.14506,   2.12062,   0.16492,   0.31829,   4.55067,   2.60854,   2.57917,   6.55226,   8.83278,   5.31985,  36.19215
   5.16336,   5.92082,   0.77736,   8.84391,   0.10713,   1.55111,   5.25342,   6.92431,   6.34644,   8.44494,  49.33279
   8.28276,   5.26129,   6.91150,   9.94913,   6.55326,   8.24257,   8.93955,   6.34799,   0.73941,   3.83807,  65.06553
   7.08689,   6.64357,   3.16781,   2.35201,   8.05342,   3.62091,   5.26521,   1.41185,   6.02478,   9.52257,  53.14902
   5.31655,   6.27069,   9.02460,   8.30081,   5.12725,   8.78753,   3.17062,   9.00886,   0.91314,   3.94002,  59.86006
   8.00613,   6.86812,   0.83322,   3.04319,   8.30447,   9.83311,   8.46532,   6.81544,   0.52476,   4.77404,  57.46782
   0.71065,   5.81468,   3.34423,   8.35397,   2.70480,   2.44235,   7.12939,   7.33157,   2.85602,   2.16310,  42.85077
   7.32358,   5.22074,   4.89992,   9.38338,   9.59697,   6.53923,   7.29974,   6.32259,   0.00816,   2.79546,  59.38977
   4.85222,   7.50336,   4.28031,   5.95735,   1.72760,   9.77128,   7.62082,   4.57608,   3.75048,   4.96196,  55.00144
   0.96549,   2.85642,   7.73247,   3.91148,   9.26542,   4.58143,   8.03260,   7.70184,   1.37489,   8.64754,  55.06958
   9.66263,   4.11390,   0.84679,   5.49785,   1.28602,   7.51668,   0.69341,   3.25207,   5.79891,   2.36586,  41.03411
   3.36631,   0.79872,   1.48152,   0.37305,   5.24072,   3.40156,   3.78276,   4.68913,   7.00899,   3.51408,  33.65685
   1.62896,   3.68105,   2.06269,   3.38741,   3.70151,   5.88499,   5.70417,   5.14350,   2.91895,   5.63601,  39.74924
   3.49094,   1.38985,   4.65296,   1.44477,   8.50587,   1.07001,   5.40023,   3.70491,   5.39318,   3.62555,  38.67825
   1.75492,   6.61501,   8.74600,   3.24896,   4.19876,   7.67280,   3.42711,   2.27947,   6.60338,   1.63758,  46.18400
   9.57587,   0.16337,   3.32874,   1.47540,   4.07551,   9.69550,   0.18869,   5.85848,   6.15088,   2.70380,  43.21624
   3.18267,   2.60138,   6.92270,   3.99991,   0.84706,   8.91640,   1.38175,   0.84046,   2.01464,   9.46832,  40.17530
   2.58196,   0.39819,   7.69452,   6.75029,   8.00207,   5.15471,   2.22585,   3.03587,   4.45465,   7.94459,  48.24271
   5.18529,   7.28641,   0.75569,   5.03072,   4.42351,   7.87906,   3.20146,   6.10707,   4.93566,   1.81048,  46.61536
   1.94312,   4.23178,   7.27390,   8.67112,   2.18389,   4.91336,   3.47222,   8.63849,   0.59225,   1.61817,  43.53831
   0.55653,   1.49328,   5.85898,   8.92545,   0.11580,   2.55838,   3.96110,   2.85021,   6.50515,   8.63912,  41.46398
   7.21299,   3.54766,   9.93337,   9.43219,   2.89399,   6.40911,   3.63784,   0.29397,   4.19624,   7.01805,  54.57541
   7.61587,   9.24024,   0.93472,   1.55364,   1.13990,   9.18075,   1.76292,   9.59008,   9.40750,   0.91397,  51.33959
   9.15742,   2.01812,   3.12630,   2.20717,   1.77259,   7.35647,   4.51720,   5.64489,   3.66042,   9.18400,  48.64459
   9.87304,   0.72060,   9.31048,   3.46669,   8.31802,   4.63274,   8.56907,   4.45035,   6.48892,   1.40464,  57.23457
   7.19617,   2.14438,   1.93420,   4.48373,   8.26192,   8.04491,   2.08574,   2.61097,   8.78431,   6.59162,  52.13795
   3.41024,   7.23522,   8.01560,   4.18551,   7.11697,   5.43313,   6.15942,   4.94728,   7.62135,   1.08378,  55.20848
   3.49984,   8.91176,   7.61777,   0.96298,   2.61476,   6.46996,   0.26393,   0.37701,   0.43231,   8.46174,  39.61206
   4.67193,   7.02529,   4.90145,   0.05706,   1.56259,   0.79384,   8.12032,   0.75416,   7.93941,   8.73955,  44.56561
   3.42647,   1.02734,   8.79850,   2.23380,   2.65616,   1.53710,   1.59286,   5.87162,   5.88033,   5.25560,  38.27979
